treat,non_disc,man_disc,opt_disc,period,round,pair,instruct_pg1_time_prop,instruct_pg1_time_resp,instruct_pg2_time_prop,instruct_pg2_time_resp,risk_lvl_prop,risk_lvl_resp,rat_risk_fl_prop,rat_risk_fl_resp,rat_risk_lvl_prop,rat_risk_lvl_resp,ext_rat_risk_fl_prop,ext_rat_risk_fl_resp,ext_rat_risk_lvl_prop,ext_rat_risk_lvl_resp,risk_stage_time_prop,risk_stage_time_resp,instruct_pg3_time_prop,instruct_pg3_time_resp,instruct_pg4_time_prop,instruct_pg4_time_resp,instruct_pg5_time_prop,instruct_pg5_time_resp,offer,disclose,offer_stage_time,accept,accept_stage_time,reveal_stat_pts_fl,reveal_stat_pts_lvl,reveal_offer_fl,reveal_offer_lvl,prop_know_stat_pts_fl,prd_start_stat_pts,prd_end_stat_pts,term_fl,prd_earn_prop,earn_stage_time_prop,prd_earn_resp,earn_stage_time_resp,rnd_earn_prop,rnd_earn_resp
1,1,0,0,1,1,1,59,-8,83,116,3,8,1,0,3,,1,0,3,,64,61,76,66,75,74,55,53,50,0,25,1,19,1,100,1,50,1,100,100,0,50,28,50,20,50,50
1,1,0,0,1,1,2,77,83,84,94,9,7,1,1,9,7,1,1,9,7,64,60,68,91,74,71,55,54,50,0,26,0,15,0,,0,,1,100,50,0,0,26,100,27,0,100
1,1,0,0,1,1,3,58,58,79,78,5,8,0,1,,8,0,1,,8,63,66,68,66,72,72,50,54,30,0,18,1,26,1,100,1,30,1,100,100,0,70,26,30,24,70,30
1,1,0,0,1,1,4,80,71,83,84,6,2,0,1,,2,0,1,,2,51,68,68,73,73,70,55,56,45,0,22,1,18,1,100,1,45,1,100,100,0,55,26,45,27,55,45
1,1,0,0,1,1,5,78,58,98,76,8,4,1,0,8,,1,0,8,,70,52,68,68,69,75,55,55,5,0,21,1,27,1,100,1,5,1,100,100,0,95,23,5,27,95,5
1,1,0,0,1,1,6,56,80,80,89,6,3,1,1,6,3,1,1,6,3,17,67,66,82,64,75,54,69,50,0,25,1,24,1,100,1,50,1,100,100,0,50,26,50,26,50,50
1,1,0,0,1,1,7,86,57,87,90,7,15,1,1,7,15,1,1,7,15,76,90,106,72,69,77,74,57,90,0,26,1,16,1,100,1,90,1,100,100,0,10,25,90,27,10,90
1,1,0,0,1,1,8,53,75,76,90,5,7,1,1,5,7,1,1,5,7,32,85,63,63,62,72,49,79,50,0,24,1,11,1,100,1,50,1,100,100,0,50,23,50,26,50,50
1,1,0,0,1,1,9,86,86,88,90,13,8,1,1,13,8,1,1,13,8,82,39,63,64,68,75,55,55,50,0,24,1,24,1,100,1,50,1,100,100,0,50,23,50,26,50,50
1,1,0,0,1,1,10,53,79,81,88,10,11,0,1,,11,0,1,,11,54,78,67,65,81,74,55,54,50,0,23,1,25,1,100,1,50,1,100,100,0,50,19,50,25,50,50
1,1,0,0,1,1,11,55,87,88,89,3,8,1,0,3,,1,0,3,,25,76,67,74,75,73,55,66,10,0,19,1,24,1,100,1,10,1,100,100,0,90,20,10,25,90,10
1,1,0,0,1,1,12,63,56,82,72,4,7,1,1,4,7,1,1,4,7,78,45,69,66,71,66,56,56,50,0,26,0,20,0,,0,,1,100,100,0,0,27,100,23,0,100
1,1,0,0,1,1,13,86,56,81,82,8,5,1,0,8,,1,1,8,6,50,16,64,69,68,76,50,59,50,0,14,1,23,1,100,1,50,1,100,100,0,50,28,50,27,50,50
1,1,0,0,1,1,14,77,88,88,83,8,5,0,1,,5,0,1,,5,-8,61,79,68,77,74,70,56,50,0,21,1,21,1,100,1,50,1,100,100,0,50,18,50,23,50,50
1,1,0,0,1,1,15,64,56,87,76,7,7,0,1,,7,0,1,,7,65,74,67,67,77,77,57,51,40,0,26,1,20,1,100,1,40,1,100,100,0,60,25,40,23,60,40
1,1,0,0,1,1,16,71,85,77,83,8,7,1,1,8,7,1,1,8,7,64,78,61,64,75,70,58,47,50,0,10,1,19,1,100,1,50,1,100,100,0,50,23,50,24,50,50
1,1,0,0,1,1,17,55,88,81,82,2,7,1,1,2,7,1,1,2,7,52,63,67,70,77,78,57,59,50,0,26,1,22,1,100,1,50,1,100,100,0,50,26,50,25,50,50
1,1,0,0,1,1,18,83,52,117,79,7,6,1,1,7,6,1,1,7,6,95,74,54,54,75,71,56,58,10,0,20,0,16,0,,0,,1,100,50,0,0,24,100,26,0,100
1,1,0,0,1,1,19,87,53,109,69,6,7,1,1,6,7,1,1,6,7,85,80,95,49,77,71,57,50,50,0,25,1,15,1,100,1,50,1,100,100,0,50,28,50,25,50,50
1,1,0,0,1,1,20,58,89,75,114,8,4,1,1,8,4,1,1,8,4,73,99,105,55,78,75,60,57,50,0,25,1,26,1,100,1,50,1,100,100,0,50,26,50,26,50,50
1,1,0,0,1,1,21,84,60,105,72,15,7,1,1,15,7,1,1,15,7,75,71,85,54,75,77,57,57,50,0,17,1,18,1,100,1,50,1,100,100,0,50,19,50,22,50,50
1,1,0,0,1,1,22,54,87,80,111,1,8,1,0,1,,1,0,1,,80,78,54,102,76,76,59,62,50,0,27,1,25,1,100,1,50,1,100,100,0,50,27,50,27,50,50
1,1,0,0,1,1,23,73,26,99,78,7,6,1,1,7,6,1,1,7,6,89,40,84,63,75,68,54,52,50,0,22,1,24,1,100,1,50,1,100,100,0,50,22,50,27,50,50
1,1,0,0,1,1,24,56,87,88,91,7,7,1,1,7,7,1,1,7,7,61,85,68,87,74,66,54,72,50,0,25,1,21,1,100,1,50,1,100,100,0,50,28,50,26,50,50
1,1,0,0,1,1,25,56,86,79,106,4,7,1,1,4,7,1,1,4,7,48,78,68,105,74,92,47,94,50,0,20,1,24,1,100,1,50,1,100,100,0,50,22,50,26,50,50
1,1,0,0,1,1,26,58,56,79,78,4,8,0,1,,8,0,1,,8,61,78,71,71,76,67,55,51,50,0,21,0,19,0,,0,,1,100,50,0,0,25,100,26,0,100
1,1,0,0,1,1,27,86,74,90,101,7,9,1,1,7,9,1,1,7,9,85,81,83,81,62,94,56,57,50,0,14,1,18,1,100,1,50,1,100,100,0,50,27,50,24,50,50
1,1,0,0,1,1,28,73,54,77,74,14,7,1,1,14,7,1,1,14,7,41,70,72,70,56,74,55,57,50,0,7,1,20,1,100,1,50,1,100,100,0,50,20,50,26,50,50
1,1,0,0,1,1,29,69,58,102,103,8,12,1,0,8,,1,0,8,,83,69,77,93,76,92,59,75,25,0,15,1,20,1,100,1,25,1,100,100,0,75,25,25,22,75,25
1,1,0,0,1,1,30,59,71,78,104,1,5,1,1,1,5,1,1,1,5,75,67,72,85,68,75,51,60,50,0,19,0,24,0,,0,,1,100,100,0,0,24,100,26,0,100
2,0,1,0,1,1,31,82,80,99,86,5,5,1,1,5,5,1,1,5,5,41,57,96,66,75,80,88,55,75,1,18,1,19,1,100,1,75,1,100,100,0,25,23,75,25,25,75
2,0,1,0,1,1,32,87,79,92,88,8,9,0,0,,,1,0,8,,67,48,82,68,104,80,80,57,45,1,11,0,23,0,,1,45,1,100,50,0,0,25,100,26,0,100
2,0,1,0,1,1,33,55,57,88,81,7,8,0,1,,8,0,1,,8,62,67,68,67,77,72,58,56,50,1,23,0,18,0,,1,50,1,100,100,0,0,23,100,26,0,100
2,0,1,0,1,1,34,86,80,85,81,9,6,1,0,9,,1,1,9,7,59,77,68,69,84,85,56,56,10,1,16,1,15,1,100,1,10,1,100,100,0,90,13,10,27,90,10
2,0,1,0,1,1,35,83,84,88,88,7,13,0,0,,,0,1,,13,57,41,70,98,83,84,57,55,50,1,24,1,24,1,100,1,50,1,100,100,0,50,23,50,25,50,50
2,0,1,0,1,1,36,65,86,88,87,6,5,1,1,6,5,1,1,6,5,24,44,69,69,82,83,61,59,60,1,21,1,24,1,100,1,60,1,100,100,0,40,25,60,25,40,60
2,0,1,0,1,1,37,87,56,98,90,5,13,1,0,5,,1,1,5,13,32,73,77,79,77,81,53,57,0,1,25,0,13,0,,1,0,1,100,100,0,0,25,100,26,0,100
2,0,1,0,1,1,38,65,82,83,82,3,15,1,1,3,15,1,1,3,15,43,78,69,71,80,76,52,81,50,1,25,1,22,1,100,1,50,1,100,100,0,50,24,50,25,50,50
2,0,1,0,1,1,39,67,65,83,78,7,6,1,1,7,6,1,1,7,6,80,64,70,70,83,83,60,52,20,1,25,0,23,0,,1,20,1,100,100,0,0,25,100,22,0,100
2,0,1,0,1,1,40,64,68,80,80,5,8,1,1,5,8,1,1,5,8,55,56,69,68,82,70,56,55,50,1,25,1,21,1,100,1,50,1,100,100,0,50,25,50,29,50,50
2,0,1,0,1,1,41,65,63,87,81,15,6,1,0,15,,1,1,15,7,86,71,70,70,80,79,53,55,50,1,23,1,23,1,100,1,50,1,100,100,0,50,24,50,26,50,50
2,0,1,0,1,1,42,66,65,78,90,2,9,1,1,2,9,1,1,2,9,58,69,70,73,82,82,53,58,40,1,0,1,19,1,100,1,40,1,100,100,0,60,23,40,27,60,40
2,0,1,0,1,1,43,58,56,81,83,8,4,0,0,,,0,0,,,52,7,68,67,72,83,58,50,50,1,21,1,27,1,100,1,50,1,100,100,0,50,22,50,21,50,50
2,0,1,0,1,1,44,58,58,79,83,1,5,1,1,1,5,1,1,1,5,81,74,67,70,81,77,51,40,50,1,25,1,17,1,100,1,50,1,100,100,0,50,26,50,24,50,50
2,0,1,0,1,1,45,58,57,88,85,10,7,0,1,,7,0,1,,7,78,53,68,68,85,78,64,51,55,1,22,1,24,1,100,1,55,1,100,100,0,45,26,55,25,45,55
2,0,1,0,1,1,46,55,56,84,82,5,4,1,1,5,4,1,1,5,4,52,79,67,69,84,84,57,62,50,1,25,1,21,1,100,1,50,1,100,100,0,50,26,50,25,50,50
2,0,1,0,1,1,47,57,58,85,86,7,11,1,1,7,11,1,1,7,11,77,67,67,68,44,84,48,57,50,1,23,1,16,1,100,1,50,1,100,100,0,50,25,50,24,50,50
2,0,1,0,1,1,48,55,54,77,76,7,10,1,0,7,,1,0,7,,59,28,60,62,78,78,53,50,51,1,19,1,23,1,100,1,51,1,100,100,0,49,24,51,26,49,51
